(find c/textseg_sizes | xargs cat),   (find c/instruction_counts | xargs cat)
file1329,664
file1394,0
file1889,192
file1717,1567
file1537,393
file1538,811
file1805,789
file1342,1008
file1327,213
file1603,523
file1662,244
file1803,1338
file1649,271
file1713,478
file1809,1767
file1734,81
file1528,1299
file1859,1472
file1660,925
file1285,725
file1819,2893
file1684,363
file1443,389
file1885,806
file1652,63
file1555,476
file1503,104
file1659,68
file1326,806
file1291,1144
file1621,954
file1384,1423
file1716,1879
file1857,2817
file1483,1240
file1681,528
file1789,111
file1494,1445
file1563,2495
file1447,609
file1723,1268
file1743,731
file1873,1048
file1732,314
file1841,861
file1884,511
file1477,275
file1466,1345
file1664,2260
file1343,604
file1381,584
file1820,3567
file1706,2414
file1500,2978
file1575,206
file1635,1631
file1869,3678
file1661,240
file1855,2312
file1719,1213
file1771,275
file1364,373
file1763,6555
file1304,578
file1340,184
file1401,4140
file1737,2095
file1701,1306
file1728,97
file1398,946
file1534,806
file1647,2773
file1640,649
file1449,1273
file1336,1972
file1361,1460
file1299,2418
file1448,632
file1365,889
file1298,3303
file1712,275
file1727,936
file1688,1631
file1393,100
file1643,1030
file1695,1711
file1714,260
file1824,2793
file1613,602
file1295,139
file1407,154
file1687,174
file1700,209
file1689,162
file1624,231
file1800,1063
file1306,765
file1320,86
file1858,7859
file1683,3140
file1373,2850
file1458,1136
file1334,753
file1560,4923
file1653,8703
file1881,3211
file1389,479
file1459,6082
file1493,1091
file1527,1107
file1784,625
file1543,896
file1524,339
file1816,2132
file1559,157
file1853,3260
file1868,587
file1787,550
file1337,6481
file1317,454
file1811,2186
file1682,1136
file1292,206
file1645,8092
file1416,1346
file1497,677
file1561,70
file1406,1063
file1461,1195
file1473,1729
file1553,1137
file1876,848
file1638,264
file1546,1728
file1289,326
file1810,1231
file1487,479
file1619,549
file1694,8419
file1704,1433
file1301,950
file1467,1711
file1865,402
file1371,875
file1368,353
file1362,5460
file1777,2420
file1848,6359
file1736,400
file1628,4458
file1847,711
file1782,248
file1344,889
file1533,1152
file1708,677
file1311,1704
file1705,516
file1644,737
file1883,342
file1815,2196
file1634,1435
file1663,508
file1397,234
file1583,1113
file1707,11287
file1849,3235
file1313,420
file1579,1793
file1463,3087
file1490,442
file1404,794
file1769,2271
file1730,427
file1740,4656
file1322,1251
file1725,796
file1495,667
file1521,1352
file1897,1556
file1363,576
file1376,2609
file1441,91
file1821,1654
file1899,1138
file1608,554
file1465,437
file1564,2246
file1767,1461
file1627,1176
file1772,1804
file1622,495
file1902,929
file1281,13752
file1808,1404
file1499,504
file1570,3581
file1793,557
file1625,1941
file1641,224
file1399,1213
file1792,1008
file1476,701
file1451,6279
file1558,1057
file1696,1004
file1531,2129
file1691,1222
file1470,513
file1444,4256
file1882,1958
file1633,1480
file1611,4174
file1367,161
file1773,429
file1479,1599
file1545,1789
file1768,930
file1387,966
file1890,3339
file1550,1001
file1446,1172
file1475,418
file1383,474
file1612,1459
file1871,1031
file1620,3100
file1795,735
file1765,518
file1454,2201
file1651,989
file1650,1211
file1718,1582
file1378,1607
file1567,520
file1604,2777
file1610,766
file1715,839
file1738,1125
file1783,1126
file1307,1051
file1551,1087
file1294,525
file1813,1515
file1726,2220
file1379,2068
file1617,813
file1648,1376
file1523,1914
file1794,2165
file1536,224
file1324,1835
file1415,1194
file1646,1705
file1305,1030
file1639,813
file1462,670
file1891,684
file1566,1035
file1417,1022
file1657,2829
file1632,5015
file1741,20599
file1481,288
file1557,1255
file1286,1039
file1422,5722
file1535,1815
file1817,1815
file1568,3794
file1878,1868
file1690,2534
file1785,1779
file1318,1892
file1626,885
file1308,2886
file1577,826
file1502,1084
file1781,2537
file1875,1170
file1770,3262
file1468,1006
file1522,1162
file1554,1061
file1578,1805
file1698,6907
file1445,2336
file1296,5603
file1388,2135
file1630,1448
file1658,5188
file1778,3540
file1790,2370
file1396,1567
file1637,4330
file1321,1909
file1863,2724
file1631,7244
file1721,2515
file1571,1383
file1456,1241
file1370,1563
file1735,4604
file1288,6279
file1330,2652
file1530,1020
file1532,2758
file1312,2697
file1409,3662
file1491,3151
file1843,1051
file1724,6728
file1410,985
file1584,2390
file1377,780
file1780,5564
file1541,1471
file1580,1442
file1328,1926
file1880,2310
file1851,1786
file1693,1781
file1453,5169
file1300,6702
file1860,3438
file1482,2674
file1400,2296
file1854,3091
file1501,4608
file1496,4588
file1412,2380
file1739,3184
file1565,38968
file1786,1344
file1420,1539
file1544,3739
file1540,3339
file1325,4170
file1872,1649
file1485,1915
file1744,5218
file1686,2353
file1297,2424
file1655,2818
file1822,2786
file1314,4620
file1469,4114
file1812,8528
file1282,6483
file1556,5161
file1471,10467
file1498,6389
file1488,3809
file1576,9767
file1866,2854
file1702,20881
file1486,6262
file1331,4250
file1788,8508
file1374,2324
file1452,4709
file1806,11426
file1776,24966
file1572,17463
file1315,4794
file1390,2115
file1316,4936
file1375,1993
file1733,5246
file1779,3886
file1879,1275
file1525,3660
file1642,6018
file1864,12394
file1548,3061
file1392,4154
file1764,6396
file1766,3410
file1823,7037
file1867,4914
file1529,1585
file1802,2315
file1310,2349
file1574,5204
file1382,4101
file1421,11256
file1761,8664
file1692,5329
file1842,4326
file1309,8398
file1814,8335
file1791,4972
file1892,4545
file1856,13151
file1287,3838
file1323,9777
file1582,7887
file1656,21935
file1391,3239
file1290,3823
file1333,11921
file1408,5263
file1573,3532
file1898,7659
file1629,18662
file1385,5370
file1893,3766
file1623,6593
file1581,9809
file1423,3940
file1903,3522
file1562,5289
file1302,10940
file1762,6724
file1804,8753
file1729,15068
file1366,8027
file1615,13003
file1900,3791
file1424,7334
file1846,6791
file1341,24406
file1478,8243
file1339,12165
file1901,3670
file1605,18236
file1895,3796
file1861,5823
file1852,9464
file1720,6362
file1552,7811
file1464,9016
file1796,14253
file1402,11093
file1480,12319
file1569,11665
file1386,5297
file1711,4926
file1442,17220
file1504,6774
file1709,22467
file1862,10780
file1405,5550
file1457,13089
file1870,33676
file1685,9080
file1703,20727
file1797,35876
file1798,20902
file1710,23528
file1484,8339
file1845,12494
file1886,7879
file1414,7891
file1284,12330
file1283,24652
file1372,9660
file1411,8295
file1801,18579
file1636,11617
file1874,22728
file1319,48593
file1775,18915
file1335,12475
file1818,27394
file1699,32710
file1722,46019
file1807,30356
file1894,23064
file1896,15152
file1419,13346
file1395,20765
file1888,25962
file1601,29801
file1539,15433
file1586,590
file1774,30834
file1607,23808
file1332,28195
file1597,2043
file1590,1435
file1606,25966
file1347,806
file1609,28215
file1592,453
file1349,164
file1594,1168
file1828,2857
file1745,1482
file1746,122
file1293,19736
file1668,945
file1585,4414
file1827,5059
file1474,31636
file1505,1614
file1593,4605
file1425,2893
file1749,260
file1588,4682
file1507,20435
file1759,562
file1747,10923
file1587,5594
file1350,389
file1667,1460
file1596,1215
file1614,24875
file1436,91
file1512,53
file1833,3200
file1838,684
file1348,403
file1589,3297
file1887,29197
file1756,337
file1598,2227
file1829,1136
file1760,509
file1748,4768
file1600,2890
file1752,12664
file1352,1728
file1428,2201
file1751,3924
file1509,1852
file1591,6099
file1460,55905
file1754,327
file1669,2513
file1455,27753
file1757,2592
file1427,1832
file1351,1812
file1359,401
file1506,3268
file1750,1561
file1799,41938
file1672,2036
file1834,1245
file1431,691
file1758,3639
file1511,714
file1915,227
file1515,832
file1513,742
file1839,5394
file1403,24872
file1517,183
file1825,9541
file1472,34481
file1514,251
file1357,5448
file1429,1099
file1434,274
file1832,4239
file1508,2230
file1518,386
file1674,6344
file1516,971
file1918,965
file1678,175
file1919,23640
file1753,4606
file1520,1141
file1426,1728
file1437,2893
file1673,2975
file1430,1918
file1489,26414
file1826,16096
file1435,1619
file1353,5349
file1356,2745
file1418,38726
file1912,353
file1914,563
file1905,467
file1440,204
file1354,2419
file1677,2077
file1916,1146
file1439,463
file1837,13047
file1510,7188
file1519,4309
file1679,1902
file1676,1548
file1913,1816
file1917,3786
file1671,1513
file1358,4948
file1595,8339
file1908,2823
file1666,10777
file1831,18605
file1675,9975
file1670,6039
file1438,14790
file1599,10501
file1911,8295
file1369,37816
file1755,24750
file1840,10482
file1830,35543
file1380,158939
file1346,14962
file1602,55671
file1616,48400
file1910,5150
file1355,17695
file1450,40640
file1907,7174
file1906,16063
file1920,11535
file1542,412229
file1432,31334
file1338,108138
file1850,86370
file1836,69716
file1835,21956
file1697,77406
file1909,39929
file1665,32653
file1360,39629
file1904,87221
file1303,130228
file1345,120373
file1413,137267
file1877,176790
file1654,186340
file1547,131312
file1742,171720
file1526,156674
file4809,342
file4806,1273
file4802,626
file4817,2659
file4804,1249
file4803,1441
file1433,189169
file4818,962
file4820,2129
file4807,1222
file4801,5111
file4811,858
file4812,1254
file4821,1513
file4808,174
file4810,5525
file4822,1905
file4814,1789
file4825,1383
file4824,3765
file4831,1857
file4815,3318
file4832,1557
file4830,10055
file4827,2793
file4834,346
file4835,2482
file4829,5157
file4816,5950
file4805,11787
file4826,11967
file4840,242
file4845,1136
file4841,1420
file4837,2450
file4839,421
file4823,15218
file4838,1667
file4842,3404
file4847,2122
file4846,1378
file4828,6869
file4843,1630
file4852,6001
file4819,26334
file4836,6037
file4848,1518
file4850,1267
file4844,2109
file4856,587
file4853,945
file4857,1566
file4859,115
file4855,5245
file4851,3948
file4858,567
file4863,750
file4861,2827
file4862,444
file4854,19134
file4866,1133
file1492,374884
file4865,692
file4833,16040
file4864,1465
file4813,33159
file4849,18767
file4870,174
file4869,2763
file4876,441
file4875,2793
file4867,7199
file4872,1159
file5361,2107
file4868,4882
file4874,4403
file4880,4688
file4878,2181
file4879,1999
file5368,1374
file5372,5824
file4877,12506
file4871,8284
file5367,940
file1549,429538
file5371,403
file5370,1335
file5365,2425
file5378,268
file5380,130
file5369,1908
file5375,5437
file5374,10347
file4873,55445
file5362,11305
file5382,3460
file5373,4147
file5387,821
file5386,1026
file5366,5735
file5385,252
file5389,2178
file5379,1261
file5364,10033
file5392,1479
file5388,116868
file5381,7381
file5390,8247
file5384,4519
file5391,1194
file5399,2313
file5396,1067
file5393,3625
file5400,1107
file1731,427685
file5402,3040
file5363,8046
file5405,63
file5395,2504
file5403,490
file5397,3090
file5394,8705
file5376,8168
file5407,1226
file5404,4309
file5410,688
file5419,348
file5414,229
file5409,10974
file5383,16692
file5411,2386
file5412,1048
file5423,172
file5417,514
file5420,931
file5413,2577
file5415,1341
file5406,17715
file5428,1030
file5425,1251
file5421,5417
file5426,382
file5431,3209
file6403,449
file5434,1134
file5418,8333
file6326,780
file6324,2874
file5427,2885
file5432,1065
file6323,1193
file6406,413
file6410,1379
file5401,19921
file5424,3241
file6331,2773
file6414,229
file5430,2845
file5408,13040
file5416,5432
file5429,2797
file5438,312
file6405,1138
file5439,1359
file6336,624
file6412,1138
file6402,3594
file6327,1631
file6330,689
file6340,622
file6334,1614
file6407,2140
file6411,345
file6332,1013
file6337,4539
file6321,1940
file6325,1475
file5435,11351
file5422,26195
file6335,1263
file5440,10392
file6420,911
file6423,4800
file6422,233
file6416,2384
file6418,1018
file6415,66460
file5398,17298
file6404,3796
file6419,1221
file6421,1251
file6424,821
file6322,5549
file5436,15769
file6428,375
file6341,346
file6329,2638
file6339,2027
file6342,881
file6344,1200
file6426,404
file6328,9388
file6401,5421
file6413,8292
file6346,1072
file6338,4328
file6347,1618
file6427,3928
file6417,4128
file6425,2410
file6429,5394
file6430,2151
file6435,853
file5437,26355
file6437,1493
file6353,260
file6349,2503
file6431,2602
file6433,3601
file6408,12758
file6436,892
file6434,37151
file6333,8728
file6432,486
file6359,941
file6350,7979
file6355,1561
file6351,4036
file6352,2174
file6348,8988
file6345,6842
file6361,270
file6358,629
file6354,3851
file6343,8262
file6356,3899
file5433,48681
file6438,1200
file6440,1268
file6441,2018
file7615,2151
file6439,1729
file6362,2196
file7602,1301
file7609,275
file7616,2898
file7613,1300
file7625,977
file7610,118
file7841,133
file6442,3120
file7614,175
file6360,4321
file7620,349
file6365,475
file6445,175
file7618,828
file7623,2187
file7628,242
file7856,143
file7632,377
file7604,4256
file6377,173
file1844,566037
file6364,3678
file7626,340
file7608,479
file7619,11355
file7621,1108
file7848,1676
file7633,890
file6378,311
file6452,221
file6366,957
file7849,1203
file6463,3727
file5377,126341
file7622,2543
file7605,2053
file6451,344
file7853,1107
file7629,105
file7640,1606
file7635,572
file6368,4031
file6375,64
file7850,1030
file6371,394
file7606,2584
file7636,1179
file7634,1099
file7607,5720
file6459,2248
file6462,388
file7627,2163
file7601,6790
file7846,540
file7857,455
file6456,1364
file7624,1435
file6464,1305
file6448,1326
file7845,553
file7630,1406
file6447,5456
file7842,736
file6453,7406
file7637,1773
file7861,1109
file6455,1083
file6444,5163
file6370,2296
file7638,393
file7859,1093
file7631,1030
file7867,550
file7642,1195
file7854,900
file7876,260
file7869,45201
file7603,7153
file6384,5648
file6468,1222
file7644,812
file6470,1728
file7878,1143
file7858,3818
file7851,3204
file6466,443
file7646,2500
file6391,379
file6387,367
file6443,7371
file7651,764
file7871,783
file7652,1303
file7641,486
file6373,4029
file6449,3620
file7653,292
file6382,2165
file6389,86
file6381,563
file6460,2098
file6467,1357
file6388,221
file7611,8459
file7852,3213
file6465,616
file7855,43508
file7866,1141
file7874,1303
file7873,6096
file6386,2949
file7847,3760
file7649,710
file7877,1858
file7844,2517
file6475,2129
file7881,197
file7647,4643
file6383,1412
file6473,1548
file6457,4741
file7639,4417
file7643,6551
file6394,141
file6363,8879
file6469,3829
file7656,3195
file6379,10995
file7659,422
file6376,4350
file7658,4807
file7880,883
file7650,1125
file7654,5894
file7884,80
file7864,5142
file6369,5090
file6474,6336
file6476,2438
file7865,6599
file6393,10259
file6396,2693
file7882,4276
file7883,623
file7862,4300
file7657,2702
file6477,4956
file6397,567
file6399,3076
file6372,6343
file7885,546
file7875,5069
file6374,21160
file6479,5669
file6392,12426
file7872,6281
file6461,15693
file6395,1911
file6458,8979
file6478,406
file6390,8614
file6471,11653
file7892,794
file7617,11964
file6398,2169
file7890,1369
file7891,949
file7879,7076
file7893,2341
file7888,10048
file6380,11411
file6400,8748
file6385,11765
file7897,920
file7868,11605
file7886,7279
file6357,32087
file7870,15317
file7889,7444
file7894,1995
file6454,29010
file7655,9457
file7863,26311
file6367,28806
file7896,6045
file7662,790
file7661,4272
file7895,6285
file7887,18022
file7674,2560
file6480,40071
file7666,4698
file7669,361
file7676,1299
file7670,356
file7667,1075
file7668,360
file6472,18979
file7673,243
file7664,2141
file7908,1549
file4860,436377
file7900,246
file6409,64653
file6446,41302
file7902,604
file7672,3640
file7905,3890
file7671,3044
file7675,745
file7906,422
file7901,656
file7910,369
file7903,1163
file7680,1859
file7678,2328
file7904,425
file7912,753
file7899,3245
file7918,5299
file7915,2758
file7677,10416
file7911,1587
file7909,2808
file7679,7326
file7665,21484
file7648,80960
file7920,2203
file7898,118994
file7919,3180
file7917,3838
file7913,8845
file7860,37582
file7914,16862
file7916,11571
file7843,56405
file7907,76581
file7660,101540
file6450,129081
file7645,226736
file7663,189169
file7612,200556
