file,instructions
file1394,726390741
file1889,723842115
file1329,652470744
file1717,722755130
file1603,748470198
file1859,776626492
file1789,690495018
file1448,765124803
file1447,701406792
file1681,755368352
file1537,737981300
file1805,694719152
file1528,762390949
file1449,718417799
file1384,778200067
file1285,685266156
file1458,743452395
file1364,763923458
file1461,744419194
file1684,754509652
file1466,702021542
file1443,696825107
file1459,788130622
file1467,753623808
file1621,772712928
file1624,796228994
file1841,765674064
file1534,758374834
file1463,1121441860
file1291,699271367
file1613,801626163
file1763,793088937
file1683,814163610
file1361,777139946
file1619,842974035
file1855,785120885
file1524,796983805
file1365,807239206
file1292,698532365
file1682,821786564
file1771,718600843
file1628,874541037
file1289,735728655
file1687,775064269
file1853,819321751
file1784,722797342
file1441,740689875
file1634,824329726
file1847,835847180
file1769,799337352
file1527,804766320
file1295,698369708
file1362,856959280
file1688,778180988
file1611,932827978
file1689,824076539
file1608,838521987
file1446,812153694
file1612,882309419
file1473,775516833
file1521,812384186
file1848,843169134
file1367,778576057
file1767,770595287
file1523,894514794
file1363,819093731
file1604,916525093
file1281,891502130
file1691,932773335
file1462,819700576
file1531,877687200
file1465,768521280
file1298,746393255
file1617,863948551
file1610,899004135
file1694,884235493
file1622,839772339
file1451,784178941
file1371,822244956
file1444,856957919
file1625,940107170
file1627,852315093
file1454,896984101
file1626,936852420
file1695,819648684
file1696,891046230
file1533,842433064
file1770,934929003
file1368,799310363
file1620,928426011
file1690,983308025
file1768,801845959
file1286,852979845
file1294,782749919
file1698,920727650
file1765,786855962
file1857,779261905
file1849,947818377
file1631,1252302937
file1370,919919748
file1632,1003589902
file1700,783485197
file1535,937009298
file1630,988545592
file1522,859585626
file1378,818304767
file1772,780916981
file1299,712342448
file1445,916224316
file1373,794525404
file1536,995958269
file1858,881732966
file1288,1110962681
file1701,758950610
file1470,788562855
file1635,784482768
file1633,888072250
file1379,929543377
file1376,792326738
file1704,850596677
file1475,786174244
file1530,896885517
file1532,957542606
file1468,865268929
file1538,749639643
file1543,795086591
file1773,829863593
file1456,841221534
file1541,906791837
file1777,841049920
file1637,1152415140
file1638,837992230
file1540,1144062206
file1476,752398857
file1477,719849572
file1296,1080628372
file1377,916871011
file1453,909084571
file1780,1029256574
file1843,906966355
file1693,1037828809
file1639,892021245
file1481,845942676
file1863,991499448
file1640,759361755
file1469,1014205340
file1865,782482221
file1479,813227470
file1301,735410634
file1550,801547271
file1553,783643986
file1551,853366499
file1482,1018987670
file1705,856511558
file1555,729031665
file1851,901296496
file1641,1007159235
file1381,755418233
file1778,894795603
file1558,839357037
file1556,1436442044
file1546,811401706
file1554,857716521
file1544,1025225580
file1300,1082215606
file1545,863410547
file1383,848173883
file1781,881978791
file1643,806559745
file1686,1155733941
file1487,740810302
file1557,837434745
file1486,1119460160
file1389,790572793
file1868,802322269
file1387,904372004
file1854,1079226174
file1645,875529812
file1305,822179764
file1282,1069393656
file1304,714272083
file1559,765809816
file1560,795536369
file1297,948620422
file1388,1027467736
file1471,1645704597
file1485,958362886
file1782,745594490
file1860,1239420417
file1644,839760508
file1706,775053311
file1483,687464941
file1646,984971055
file1783,869326964
file1452,1216247057
file1393,755401930
file1374,971476135
file1647,786442435
file1702,1754478622
file1306,727676309
file1707,914702792
file1488,1031704603
file1561,742772930
file1563,763456959
file1648,919833014
file1869,812242442
file1375,997039993
file1776,1380962399
file1866,970166691
file1779,1090407629
file1525,1081277897
file1307,772509702
file1764,1199462618
file1708,812764035
file1390,983973878
file1766,1131055341
file1565,1339904657
file1548,1061096081
file1490,767096575
file1649,739446066
file1564,814178957
file1491,941537455
file1712,759435476
file1786,917419599
file1311,786093452
file1308,846696707
file1864,1369623647
file1642,1174502327
file1566,852476947
file1761,1372615313
file1785,897297378
file1396,879229687
file1867,1064500372
file1568,851934786
file1493,731811908
file1567,827361719
file1713,755795344
file1529,1095231052
file1392,1213127797
file1570,830742554
file1787,760779848
file1382,1349168528
file1650,905357150
file1714,753084102
file1788,1266684716
file1790,1055597245
file1310,997855526
file1309,1087326375
file1871,855136943
file1651,849577719
file1572,1371170168
file1397,778330023
file1791,1215579809
file1571,902653229
file1842,1083070060
file1494,718590476
file1873,764789521
file1792,794908670
file1872,1046768047
file1573,1108987781
file1398,776709290
file1692,1547716140
file1495,771415923
file1856,1545615223
file1290,1251117879
file1793,792670614
file1652,746822936
file1287,1114466629
file1715,896594399
file1802,1173556651
file1800,739401170
file1313,734506385
file1653,880295963
file1312,941075834
file1574,1357123368
file1391,1062580468
file1562,1297941848
file1716,756945220
file1302,2028933478
file1795,801032723
file1803,697888773
file1794,900846739
file1496,938895683
file1575,707338421
file1875,926244326
file1719,751540538
file1623,1466202931
file1655,1075534171
file1762,1394614612
file1721,952702555
file1718,944207346
file1808,858368204
file1497,744443255
file1806,1252763648
file1576,1135732528
file1385,1191830765
file1629,1743700067
file1577,830929658
file1314,1079257099
file1399,873741169
file1498,1142785657
file1578,806961452
file1400,951222236
file1876,821719696
file1315,1166873623
file1656,1918418163
file1878,888306795
file1316,1199766696
file1579,777656731
file1317,733029988
file1318,860256464
file1320,698219878
file1401,806167070
file1324,816205603
file1657,968980103
file1881,808977719
file1723,733452601
file1615,1561416032
file1804,1453251639
file1499,760988190
file1321,974182324
