file, text_segment_size, instructions
file1, 2129, 918575274
file2, 3543, 1308486573
file3, 6671, 2521449597
file4, 2342, 1102609562
file5, 3393, 1066174733
file6, 3625, 1245026097
file7, 746, 1021671792
file8, 1730, 1044919904
file9, 18974, 2811510915
file10, 926, 1063017549
file11, 604, 883598621
file12, 56, 881004709
file13, 761, 1009658755
file14, 20579, 2730361088
file15, 527, 937522421
file16, 7783, 1293658604
file17, 881, 951042480
file18, 2748, 1223361628
file19, 11326, 2033037548
file20, 209, 901142629
file21, 1927, 908123930
file22, 161, 904370373
file23, 1129, 890863272
file24, 2715, 1196142737
file25, 2150, 1000089268
file26, 2370, 1237569548
file27, 1779, 1061115498
file28, 10327, 2252736717
file29, 2129, 908677863
file30, 703, 924650588
file31, 1732, 1075758204
file32, 2116, 1268421215
file33, 1654, 1172895888
file34, 1345, 1028683960
file35, 190, 870096297
file36, 6256, 1515959836
file37, 56812, 3722023100
file38, 9826, 1790957432
file39, 1877, 1054497425
file40, 5853, 952414639
file41, 10276, 1595373317
file42, 130949, 17634645550
file43, 23888, 3949574415
file44, 3105, 942734296
file45, 2775, 1088287045
file46, 610, 991483619
file47, 822, 966726034
file48, 1067, 1038584818
file49, 284, 874578836
file50, 3016, 959907868
file51, 3307, 1178092851
file52, 151, 893289145
file53, 8097, 1587057632
file54, 2790, 918129768
file55, 834, 879501765
file56, 429, 930518050
file57, 2039, 1057502016
file58, 10458, 1430511542
file59, 10003, 2115384569
file60, 261, 916314893
file61, 2236, 1054596110
file62, 18027, 3366196571
file63, 932, 1027173167
file64, 2825, 1141639357
file65, 593, 729919908
file66, 533, 773702712
file67, 639, 703266970
file68, 1637, 714331667
file69, 243, 740899868
file70, 170, 663395882
file71, 481, 776234172
file72, 321, 763223227
file73, 4303, 1134074887
file74, 1135, 781706086
file75, 854, 775260650
file76, 37662, 4334991942
file77, 12635, 1783486222
file78, 3175, 721679127
file79, 21412, 2067505794
file80, 950, 773763429
file81, 197, 938413909
file82, 656, 1023298608
file83, 4301, 941272169
file84, 2140, 1100056914
file85, 951, 910082936
file86, 4807, 1340985476
file87, 529, 948506781
file88, 270, 940761878
file89, 403, 925787883
file90, 8497, 1763123357
file91, 10796, 1860880869
file92, 8065, 2191219427
file93, 170, 910176123
file94, 6998, 1432573590
file95, 797, 1029369459
file96, 254, 907764744
file97, 2575, 1125698363
file98, 2102, 1180848573
file99, 1252, 1024685862
file100, 513, 883049362
file101, 6512, 1466076602
file102, 1018, 980572942
file103, 8307, 1447216088
file104, 81, 882140838
file105, 567971, 66978079815
file106, 3539, 943836484
file107, 905, 890063876
file108, 4751, 1040164440
file109, 9901, 1964304451
file110, 1685, 1106843401
file111, 1720, 1016011304
file112, 4878, 1151944287
file113, 6235, 963241196
file114, 87, 898378902
file115, 1182, 941889550
file116, 1607, 952614221
file117, 3064, 1106528344
file118, 5847, 1137774544
file119, 3919, 1250979162
file120, 479, 961093344
file121, 1405, 1037045913
file122, 5850, 1318123779
file123, 6654, 1736421448
file124, 3050, 1063128368
file125, 15717, 3307497435
file126, 623, 924757775
file127, 17284, 2668681430
file128, 1299, 901454723
file129, 94, 870155507
file130, 111, 886131407
file131, 589, 948936053
file132, 262144, 902002459
file133, 798, 910735490
file134, 2137, 936342832
file135, 6377, 1300286373
file136, 2225, 916762893
file137, 3310, 921594895
file138, 3065, 1137653877
file139, 735, 1002764562
file140, 7687, 1354167038
file141, 731, 893015943
file142, 1635, 1029055333
file143, 2107, 911411409
file144, 2781, 915899550
file145, 1422, 686841350
file146, 3915, 1058657392
file147, 543, 786773022
file148, 1631, 690029264
file149, 4801, 1435649403
file150, 1042, 806977052
file151, 12426, 1779426672
file152, 1222, 684059792
file153, 1750, 946060451
file154, 3547, 775688993
file155, 787, 673688722
file156, 2107, 699219728
file157, 9010, 1693900620
file158, 64, 669089059
file159, 2357, 894104532
file160, 1916, 810938926
file161, 4132, 1377128907
file162, 1325, 986346645
file163, 4028, 1143375008
file164, 90682, 9072786261
file165, 7041, 1214354334
file166, 8126, 4701444422
file167, 10778, 2103945947
file168, 256, 950872415
file169, 1333, 978029283
file170, 1114, 932773135
file171, 1676, 910646373
file172, 2478, 915048025
file173, 1455, 974069127
file174, 325, 967988043
file175, 2892, 926019261
file176, 869, 1014282128
file177, 797, 972477959
file178, 1267, 1045219540
file179, 573, 1014758343
file180, 177, 939126246
file181, 573, 963323657
file182, 579, 882330046
file183, 4252, 946656093
file184, 449, 981264756
file185, 2979, 1110586776
file186, 7396, 987889262
file187, 737, 886111167
file188, 5826, 988817752
file189, 579, 933090703
file190, 2102, 1072729934
file191, 3746, 930400219
file192, 167, 890680255
file193, 254, 939089035
file194, 4157, 1297908474
file195, 2384, 1294940440
file196, 2928, 1135146341
file197, 1033, 891826015
file198, 2196, 961237402
file199, 78068, 6987998423
file200, 7709, 2102106450
file201, 4955, 1668582114
file202, 1079, 963179016
file203, 55, 896229190
file204, 5690, 1762269078
file205, 2056, 1009142287
file206, 280, 888168690
file207, 6375, 1531331747
file208, 17292, 2620481370
file209, 3412, 1101848694
file210, 174, 905310959
file211, 810, 962681674
file212, 18185, 2493994131
file213, 3861, 936101788
file214, 903, 1007417084
file215, 9909, 2003713438
file216, 4675, 1202244723
file217, 1808, 1330324133
file218, 476, 1002288980
file219, 17566, 3323568326
file220, 2887, 1193920938
file221, 4961, 1255101053
file222, 3050, 1279777889
file223, 356, 881315506
file224, 5944, 1382964186
file225, 7279, 1156654690
file226, 816, 760273552
file227, 1975, 913541143
file228, 912, 702045128
file229, 7477, 847790842
file230, 44449, 4029746073
file231, 2773, 886577247
file232, 53, 671082428
file233, 375, 717292343
file234, 3727, 1276060211
file235, 4401, 742747640
file236, 7763, 1600512583
file237, 364, 742734237
file238, 4407, 710574706
file239, 8306, 795680580
file240, 11971, 2536589359
file241, 8240, 1482473841
file242, 15055, 2467609048
file243, 15834, 2245619814
file244, 4390, 945692287
file245, 3678, 1332173997
file246, 1952, 952618002
file247, 3765, 985399662
file248, 2813, 1143151715
file249, 19725, 1135259281
file250, 4031, 928386546
file251, 423, 966903741
