file, text_segment_size, instructions
file1, 2129, 626863810
file2, 3589, 1012004269
file3, 6639, 2235500077
file4, 2342, 807965091
file5, 3393, 770232738
file6, 3625, 946108853
file7, 746, 731664688
file8, 1730, 757504826
file9, 19006, 2496285242
file10, 926, 770077243
file11, 604, 601137210
file12, 56, 598787824
file13, 761, 722118970
file14, 20543, 2396360028
file15, 527, 654632023
file16, 7783, 1000065364
file17, 881, 666093070
file18, 2561, 907119603
file19, 11326, 1709718021
file20, 209, 615983111
file21, 1927, 625192762
file22, 161, 618507552
file23, 1129, 611271089
file24, 2715, 906955324
file25, 2123, 706935612
file26, 2370, 942895291
file27, 1779, 770677333
file28, 10359, 1942127737
file29, 2129, 626699664
file30, 703, 631947956
file31, 1732, 784994775
file32, 2116, 962972592
file33, 1654, 884024410
file34, 1345, 742614174
file35, 190, 591363658
file36, 6256, 1217525126
file37, 56316, 3372348063
file38, 9826, 1472971823
file39, 1877, 762469242
file40, 5853, 673866160
file41, 10276, 1298316444
file42, 131061, 16497379259
file43, 23888, 3563190385
file44, 3105, 657885694
file45, 2775, 797756061
file46, 610, 704745445
file47, 822, 682651343
file48, 1067, 750922555
file49, 284, 592559111
file50, 3016, 673019366
file51, 3307, 888440772
file52, 151, 611844538
file53, 8049, 1286010660
file54, 2790, 635389578
file55, 834, 600728425
file56, 429, 646446501
file57, 2023, 770682758
file58, 10458, 1135491035
file59, 10003, 1787710983
file60, 261, 632874892
file61, 2236, 764963404
file62, 18027, 3028747505
file63, 932, 738142376
file64, 2825, 852066036
file65, 593, 654764559
file66, 533, 694301230
file67, 639, 629210820
file68, 1637, 637526105
file69, 243, 661826965
file70, 170, 592085755
file71, 477, 682924334
file72, 321, 674699042
file73, 4303, 1037882000
file74, 1135, 705645639
file75, 854, 691829511
file76, 37662, 4169983064
file77, 12619, 1653174211
file78, 3175, 645070770
file79, 21436, 1932781018
file80, 950, 689036497
file81, 197, 647861336
file82, 656, 732188145
file83, 4301, 655484707
file84, 2090, 803850236
file85, 951, 620471305
file86, 4807, 1038662775
file87, 529, 656343698
file88, 270, 650073349
file89, 403, 635589043
file90, 8448, 1458610861
file91, 10772, 1552563933
file92, 8065, 1869642955
file93, 170, 617686803
file94, 6998, 1136424318
file95, 797, 737627943
file96, 254, 621496232
file97, 2575, 833990334
file98, 2102, 882427446
file99, 1252, 731787586
file100, 513, 599150790
file101, 6544, 1156135086
file102, 1018, 694433177
file103, 8307, 1137199442
file104, 81, 598565124
file105, 568115, 63379446523
file106, 3539, 654957914
file107, 905, 603165218
file108, 4751, 751380997
file109, 9885, 1662124554
file110, 1685, 815264798
file111, 1720, 721468646
file112, 4878, 859277802
file113, 6235, 674628638
file114, 87, 603973477
file115, 1182, 651413627
file116, 1607, 661635934
file117, 3064, 811708455
file118, 5847, 844020560
file119, 3919, 954158877
file120, 479, 667004280
file121, 1405, 745444130
file122, 5850, 1013088809
file123, 6654, 1421484393
file124, 3050, 769532958
file125, 15669, 2953967589
file126, 623, 635410011
file127, 17284, 2317000023
file128, 1299, 614276769
file129, 94, 585945780
file130, 111, 601782176
file131, 589, 657204079
file132, 262144, 607415390
file133, 798, 624824899
file134, 2137, 650967630
file135, 6377, 1003387413
file136, 2225, 630358735
file137, 3310, 640252858
file138, 3065, 843283505
file139, 735, 708077959
file140, 7679, 1052569223
file141, 731, 605791367
file142, 1635, 735448602
file143, 2107, 626584135
file144, 2781, 633276104
file145, 1422, 614783667
file146, 3915, 971445289
file147, 543, 708067383
file148, 1631, 617969543
file149, 4801, 1329950873
file150, 1042, 727660410
