file, text_segment_size, instructions
file31654, 44957, 5456245184
file31655, 6652, 1183219046
file31656, 5817, 1191995503
file31657, 215, 662697010
file31658, 1281, 823258302
file31659, 2542, 967216098
file31660, 41451, 5471938911
file31661, 401, 656563869
file31662, 212, 652592878
file31663, 9077, 987068104
file31664, 66232, 10405889782
file31665, 2917, 841421629
file31666, 10966, 1921801780
file31667, 57659, 7543627894
file31668, 8569, 1987697059
file31669, 4934, 1349090347
file31670, 99465, 9536150972
file31671, 9645, 1810738327
file31672, 5907, 1231630140
file31673, 31103, 4122372898
file31674, 1023, 727317819
file31675, 23279, 3334886794
file31676, 2344, 793860197
file31677, 734, 706193178
file31678, 41644, 7798668606
file31679, 3535, 1283636137
file31680, 100270, 12421511101
file31681, 5701, 992361754
file31682, 48, 618572285
file31683, 25507, 2368177939
file31684, 110377, 18365744109
file31685, 106409, 14205353459
file31686, 82970, 7150636442
file31687, 18478, 3007873570
file31688, 23835, 2770442161
file31689, 2722, 877955409
file31690, 37472, 5731487559
file31691, 9001, 1986357663
file31692, 8606, 1979978711
file31693, 1552, 841347449
file31694, 1736927, 105379290372
file31695, 5488, 1608370058
file31696, 4080, 1016349032
file31697, 36275, 4077815186
file31698, 6078, 1577477961
file31699, 24241, 3256462711
file31700, 1054, 696282043
file31701, 9659, 2133243692
file31702, 10605, 1885134241
file31703, 19798, 6896922758
file31704, 3073, 966554909
file31705, 23062, 3619779896
file31706, 12966, 1591521000
file31707, 7307, 1463896635
file31708, 21009, 1716807794
file31709, 192134, 24458120251
file31710, 2920, 1006767579
file31711, 1114, 713088468
file31712, 10724, 2063760074
file31713, 10605, 1891159863
file31714, 15762, 2421448274
file31715, 4441, 1128446201
file31716, 76258, 8842990208
file31717, 30356, 4316914340
file31718, 11882, 2677470230
file31719, 54914, 5854949994
file31720, 53, 596497766
file31721, 45462, 5345391815
file31722, 26017, 1208090608
file31723, 1864, 886363260
file31724, 5014, 1042321956
file31725, 7960, 1416548008
file31726, 1152, 831849679
file31727, 16831, 2300110196
file31728, 158480, 17576853747
file31729, 6095, 1182994069
file31730, 120762, 17536051578
file31731, 51537, 6179593125
file31732, 882, 763884196
file31733, 2066, 1068991324
file31734, 277537, 643147083
file31735, 2274, 849545445
file31736, 172742, 22933526647
file31737, 15478, 1919068137
file31738, 2330, 826255859
