file, text_segment_size, instructions
file31654, 44957, 5736778853
file31655, 6652, 1344973157
file31656, 5817, 1353798145
file31657, 215, 836047058
file31658, 1281, 981441657
file31659, 2542, 1120253985
file31660, 41451, 5826710264
file31661, 401, 809776766
file31662, 212, 823723812
file31663, 9077, 1169014241
file31664, 66105, 10835376760
file31665, 2917, 1019856256
file31666, 10966, 2114171365
file31667, 57659, 7875599101
file31668, 8569, 2220379817
file31669, 4934, 1520656614
file31670, 99433, 9898057645
file31671, 9669, 2007902015
file31672, 5907, 1400667345
file31673, 31103, 4425507762
file31674, 1023, 875959505
file31675, 23575, 3591472654
file31676, 2349, 967659690
file31677, 734, 864215535
file31678, 41856, 8173262576
file31679, 3535, 1449633280
file31680, 100238, 12672362831
file31681, 5701, 1153044459
file31682, 48, 776598633
file31683, 25507, 2540667153
file31684, 110609, 18977897935
file31685, 106381, 14683662111
file31686, 84362, 7560618093
file31687, 18475, 3219224754
file31688, 23835, 2951211838
file31689, 2722, 1036896693
file31690, 37472, 6021500138
file31691, 9001, 2172619750
file31692, 8606, 2185488279
file31693, 1552, 994238542
file31694, 1736943, 107696175497
file31695, 5488, 1781922339
file31696, 4080, 1175370134
file31697, 36275, 4280392857
file31698, 6078, 1750792632
file31699, 24241, 3484345812
file31700, 1054, 882250463
file31701, 9659, 2325243659
file31702, 10637, 2062550801
file31703, 19798, 7256919277
file31704, 3073, 1142835841
file31705, 22937, 3826485543
file31706, 12966, 1773005301
file31707, 7307, 1637286276
file31708, 21009, 1893174176
file31709, 192134, 25322497869
file31710, 2920, 1169080077
file31711, 1114, 865861650
file31712, 10724, 2266476714
file31713, 10637, 2079786432
file31714, 15762, 2619706582
file31715, 4393, 1287988142
file31716, 76236, 9150692473
file31717, 30356, 4608129948
file31718, 11882, 2797374771
file31719, 54882, 6031604983
file31720, 53, 667914837
file31721, 45478, 5530175388
file31722, 26017, 1289941079
file31723, 1864, 965360115
file31724, 5014, 1128187564
file31725, 7960, 1491299532
file31726, 1152, 912082648
file31727, 16847, 2419531840
file31728, 158336, 18055953985
file31729, 6111, 1273367457
file31730, 120762, 18067585678
file31731, 51617, 6429952274
file31732, 882, 842866453
file31733, 2066, 1154344964
file31734, 277537, 718509140
file31735, 2274, 932524620
file31736, 172999, 23531214279
file31737, 15478, 1976333106
file31738, 2330, 905727115
file31739, 3818, 1052353557
file31740, 6394, 1848723553
file31741, 82548, 7788693164
file31742, 16716, 2269574885
file31743, 376, 693480070
file31744, 3583, 1368060156
file31745, 18277, 2910838801
file31746, 101, 697266038
file31747, 1180, 787194864
file31748, 1637738, 158438567152
file31749, 7397, 1460238574
file31750, 12957, 1649069694
file31751, 40709, 4343154069
file31752, 1304, 893612845
file31753, 6927, 5688154433
file31754, 16088, 2296779484
file31755, 53744, 3848508859
file31756, 129, 630761948
file31757, 1948, 783087587
file31758, 24558, 3860905825
file31759, 7044, 1676252467
file31760, 64791, 6538705671
file31761, 157, 692342151
file31762, 3185, 954503938
file31763, 1973, 884018512
file31764, 21847, 4373891413
file31765, 6767, 1725589501
file31766, 52945, 3217540729
file31767, 72757, 8529730690
file31768, 30499, 6083737054
file31769, 703, 829814861
file31770, 1768, 872055472
file31771, 916, 815922021
file31772, 1139, 900915427
file31773, 890, 1041248114
file31774, 80696, 9072034516
file31775, 47596, 5566313619
file31776, 5154, 1220612077
file31777, 2083, 996537643
file31778, 58095, 6233548326
file31779, 613, 844145590
file31780, 5101, 1186168994
file31781, 25414, 3290069631
file31782, 16117, 2224672861
file31783, 1043, 785587258
file31784, 20881, 3793027218
file31785, 26272, 8714373706
file31786, 18561, 2104580299
file31787, 3105, 1163068432
file31788, 20869, 2531199363
file31789, 138189, 19077760585
file31790, 1473, 845842590
file31791, 6613, 1358172005
file31792, 36838, 4610908187
file31793, 6367, 1635433377
file31794, 69773, 1283186753
file31795, 13919, 2693288898
file31796, 1207, 1089078151
file31797, 6604, 1238568209
file31798, 16198, 1611792294
file31799, 9851, 1664220900
file31800, 15728, 2249940292
file31801, 6475, 1398919380
file31802, 5278, 5762762917
file31803, 177, 751632036
file31804, 50487, 11345226860
file31805, 42944, 8744808506
file31806, 74372, 12386264050
file31807, 126794, 17876406017
file31808, 2122, 946277163
file31809, 7475, 1519362991
file31810, 39204, 4241565185
file31811, 108180, 11791911907
file31812, 775539, 57301681918
file31813, 2728, 998213345
