file, text_segment_size, instructions
file353701, 27941, 2387597075
file353702, 1011, 702691798
file353703, 55676, 5470221841
file353704, 14628, 1659588694
file353705, 15384, 1655130100
file353706, 15043, 1609150171
file353707, 17415, 1787971692
file353708, 7000, 1136883088
file353709, 22941, 2421822678
file353710, 8010, 1132830418
file353711, 16946, 1717298670
file353712, 1479, 712126863
file353713, 76980, 8384545874
file353714, 3187, 899138618
file353715, 186476, 10927965949
file353716, 2637, 773192022
file353717, 1150, 720005122
file353718, 14583, 1588596188
file353719, 4975, 986416371
file353720, 749, 659490728
file353721, 969, 671001848
file353722, 127596, 8563958048
file353723, 2091, 773459086
file353724, 12644, 1414978317
file353725, 1494, 727043942
file353726, 1306, 698075367
file353727, 2547, 792426411
file353728, 241, 628116460
file353729, 12921, 1499302546
file353730, 27321, 2372631248
file353731, 5977, 1122757521
file353732, 141683, 9667299598
file353733, 11964, 1525965646
file353734, 15914, 1664054671
file353735, 18221, 1790410490
file353736, 120, 616516717
file353737, 24384, 2155909510
file353738, 23461, 2243361435
file353739, 1024, 673583704
file353740, 8213, 1174533516
file353741, 20500, 1955031375
file353742, 5859, 1014324719
file353743, 7070, 1143795740
file353744, 4809, 935367715
file353745, 3969, 898157809
file353746, 2681, 843981802
file353747, 5579, 1043083851
file353748, 1886, 780420035
file353749, 17146, 1745777686
file353750, 68422, 5040183395
file353751, 5104, 1025708356
file353752, 22466, 2046226970
file353753, 10946, 1610825851
file353754, 3064, 826901661
file353755, 1744, 705111153
file353756, 21212, 1946547013
file353757, 17286, 1734764050
file353758, 21078, 1963434323
file353759, 6407, 1043455928
file353760, 1114, 706588717
file353761, 182338, 12519481920
file353762, 24855, 2189786661
file353763, 6765, 1045008593
file353764, 9629, 1289494356
file353765, 16810, 1744353811
file353766, 73335, 5077266677
file353767, 14663, 1587452222
file353768, 2987, 825044663
file353769, 17942, 1772231992
file353770, 4360, 934594517
file353771, 638, 664234934
file353772, 23418, 2109310290
file353773, 2223, 779909298
file353774, 19198, 1882758738
file353775, 28326, 2508707631
file353776, 17350, 1765455811
file353777, 4927, 950189909
file353778, 4222, 905753653
file353779, 33979, 2729342614
file353780, 892, 665937702
file353781, 41050, 3189142921
file353782, 2797, 810371737
file353783, 19621, 1870173852
file353784, 3968, 896989914
file353785, 25505, 2239821061
file353786, 6920, 1160713398
file353787, 4891, 956790173
file353788, 435, 690218879
file353789, 3533, 865363661
file353790, 2942, 823133856
file353791, 28448, 2416280763
file353792, 9639, 1239312780
file353793, 10657, 1347648682
file353794, 7740, 1124743433
file353795, 10514, 1338091370
file353796, 2700, 820467961
file353797, 19351, 1891151126
file353798, 25230, 2355670229
file353799, 12898, 1478183003
file353800, 22442, 2065256554
file353801, 12838, 1477929660
file353802, 4111, 882782471
file353803, 1497, 714655199
file353804, 8235, 1102119826
file353805, 8358, 1191835357
file353806, 10034, 1319540150
file353807, 3660, 840724440
file353808, 13138, 1474414849
file353809, 32125, 2581179233
file353810, 37709, 2942927326
file353811, 16683, 1708968796
file353812, 16123, 1803492124
file353813, 20323, 1877060828
file353814, 1002, 677680976
file353815, 6578, 999589429
file353816, 245153, 15515031928
file353817, 7617, 1114627303
file353818, 46266, 3586181464
file353819, 4658, 916533670
file353820, 46313, 3655842126
file353821, 4112, 920505354
file353822, 1484, 736951495
file353823, 6261, 1086941092
file353824, 9247, 1732131526
file353825, 3617, 841804379
file353826, 31572, 2556277283
file353827, 264, 630990439
file353828, 3555, 891048201
file353829, 14219, 1577486135
file353830, 30728, 2528130076
file353831, 1454, 751962469
file353832, 8730, 1196417632
file353833, 5119, 1007160601
file353834, 2741, 801597022
file353835, 5900, 1056881630
file353836, 39362, 2862551639
file353837, 2163, 790615322
file353838, 10088, 1294063199
file353839, 3992, 890975130
file353840, 6797, 1076417741
file353841, 50961, 3724205184
file353842, 996, 675997132
file353843, 2808, 813292835
file353844, 23504, 2158412807
file353845, 10108, 1438388184
file353846, 7173, 1045044460
file353847, 10736, 1347819705
file353848, 14534, 1613137268
file353849, 670, 633849470
file353850, 27771, 2374475525
file353851, 15307, 1613127314
file353852, 21423, 1991765418
file353853, 20539, 1927921466
file353854, 9914, 1379534091
file353855, 4557, 904190939
file353856, 7793, 1187855112
file353857, 3110, 827314205
file353858, 2375, 811552377
file353859, 16791, 1716212724
file353860, 16002, 1599191544
file353861, 5945, 1075130357
file353862, 732, 669230577
file353863, 1587, 791010714
file353864, 24561, 2160990916
file353865, 28985, 2442182900
file353866, 18830, 1830285821
file353867, 1863, 817946196
file353868, 16272, 1681418747
file353869, 5951, 1035350189
file353870, 30780, 2574583801
file353871, 79556, 5756647536
file353872, 47995, 3917443781
file353873, 6006, 1055691277
file353874, 29287, 2431643317
file353875, 5447, 1047585328
file353876, 18004, 1806279822
file353877, 19426, 1863731076
file353878, 114418, 10628929084
file353879, 6999, 1144917700
file353880, 25940, 2238803783
file353881, 31588, 2553919636
file353882, 14398, 1611412219
file353883, 605, 661906406
file353884, 11088, 1359001368
file353885, 21560, 2000617653
file353886, 19573, 1852341021
file353887, 17072, 1843971041
file353888, 4863, 984801061
file353889, 7504, 1114325473
file353890, 3987, 913627738
file353891, 7942, 1104164738
file353892, 70974, 4987321439
file353893, 24142, 2322396584
file353894, 3087, 827568543
file353895, 183, 616706396
file353896, 8877, 1254420121
file353897, 6571, 1059026863
file353898, 11601, 1400368782
file353899, 353, 631170071
file353900, 11324, 1304217208
file353901, 4357, 907937885
file353902, 20852, 1942213508
file353903, 788, 679570524
file353904, 20834, 1955543234
file353905, 347555, 22689207787
file353906, 7723, 1110475297
file353907, 44541, 3763166211
file353908, 524, 645242507
file353909, 5456, 1030350008
file353910, 15147, 1591444727
file353911, 17376, 1736177933
file353912, 1000, 679191914
file353913, 3744, 855762803
file353914, 8783, 1230259128
file353915, 51071, 3876685489
file353916, 19730, 1788226782
file353917, 75069, 13106253865
file353918, 6724, 1165027088
file353919, 28351, 2523245323
file353920, 4532, 951161909
file353921, 9902, 1295975517
file353922, 1803, 737755503
file353923, 7588, 1168970177
file353924, 2731, 831406245
file353925, 2112, 745388891
file353926, 27989, 2045760762
file353927, 34396, 2759944222
file353928, 74777, 5072675619
file353929, 28567, 2421637160
file353930, 26165, 2295183255
file353931, 17084, 1788840244
file353932, 15523, 1615384714
file353933, 779, 686805304
file353934, 6025, 1013138562
file353935, 17307, 1776660146
file353936, 18033, 1777482246
file353937, 14809, 1619706174
file353938, 19143, 1748418174
file353939, 22384, 1949160998
file353940, 12354, 1450396687
file353941, 8777, 1123288566
file353942, 20208, 1907341707
file353943, 3719, 881299774
file353944, 4117, 899527344
file353945, 5092, 936391352
file353946, 1053, 704916895
file353947, 3114, 827560912
file353948, 2259, 801894141
file353949, 5278, 995532359
file353950, 2965, 825224029
file353951, 869, 664336364
file353952, 8576, 1196596484
file353953, 8613, 1159877324
file353954, 3156, 818108378
file353955, 9652, 1225943153
file353956, 20170, 1914291421
file353957, 6756, 1149773494
