file, text_segment_size, instructions
file353701, 27925, 2676456313
file353702, 1011, 946507832
file353703, 55676, 5852673416
file353704, 14612, 1937392065
file353705, 15384, 1921790587
file353706, 15043, 1884310862
file353707, 17415, 2063557491
file353708, 7000, 1379696275
file353709, 22941, 2697449084
file353710, 8010, 1390256382
file353711, 16946, 1983946779
file353712, 1479, 956192811
file353713, 76980, 8915629585
file353714, 3187, 1153202891
file353715, 186476, 11383074116
file353716, 2637, 1023267934
file353717, 1150, 965652885
file353718, 14599, 1852582085
file353719, 4975, 1236261913
file353720, 749, 929733457
file353721, 969, 915188740
file353722, 127516, 8891379792
file353723, 2091, 1021369616
file353724, 12644, 1672479704
file353725, 1494, 974248870
file353726, 1306, 947177276
file353727, 2547, 1037857926
file353728, 241, 871469480
file353729, 12921, 1764795847
file353730, 27305, 2663226817
file353731, 5977, 1369101621
file353732, 141651, 10002435396
file353733, 11964, 1760654787
file353734, 15914, 1935364293
file353735, 18221, 2063520395
file353736, 120, 875442216
file353737, 24384, 2438827396
file353738, 23445, 2501486065
file353739, 1024, 913624611
file353740, 8213, 1420951438
file353741, 20500, 2210049317
file353742, 5859, 1267997626
file353743, 7070, 1400814308
file353744, 4809, 1177852486
file353745, 3969, 1143623856
file353746, 2681, 1097465438
file353747, 5579, 1293653715
file353748, 1886, 1038111764
file353749, 17146, 2008237008
file353750, 68422, 5387405540
file353751, 5104, 1280720414
file353752, 22466, 2291336493
file353753, 10946, 1876424068
file353754, 3064, 1075548157
file353755, 1744, 951873146
file353756, 21212, 2213465599
file353757, 17286, 1990647966
file353758, 21078, 2233985988
file353759, 6407, 1290918543
file353760, 1114, 949123366
file353761, 182418, 12744012930
file353762, 24839, 2471332678
file353763, 6765, 1305400764
file353764, 9629, 1548568604
file353765, 16810, 1812664419
file353766, 73303, 5281083857
file353767, 14663, 1692919087
file353768, 2987, 906730963
file353769, 17942, 1878849635
file353770, 4360, 1018593134
file353771, 638, 741268192
file353772, 23418, 2198463214
file353773, 2223, 859600227
file353774, 19198, 1961286026
file353775, 28326, 2596018147
file353776, 17350, 1871230606
file353777, 4927, 1035196061
file353778, 4222, 989204792
file353779, 33963, 2859148907
file353780, 892, 740901986
file353781, 41050, 3316533559
file353782, 2797, 886880609
file353783, 19621, 1980083671
file353784, 3968, 979685557
file353785, 25441, 2341711667
file353786, 6920, 1250495874
file353787, 4891, 1031053172
file353788, 435, 767753852
file353789, 3533, 948053553
file353790, 2942, 904542220
file353791, 28432, 2517018524
file353792, 9639, 1331133780
file353793, 10657, 1443994991
file353794, 7740, 1201559652
file353795, 10514, 1433232969
file353796, 2700, 902055238
file353797, 19351, 2000159266
file353798, 25214, 2443344586
file353799, 12898, 1576370252
file353800, 22426, 2148146071
file353801, 12838, 1576261452
file353802, 4111, 964559945
file353803, 1497, 791605153
file353804, 8235, 1185996646
file353805, 8358, 1282137549
file353806, 10050, 1412020908
file353807, 3660, 922957629
file353808, 13138, 1565664881
file353809, 32141, 2704031565
file353810, 37693, 3133926187
file353811, 16683, 1810559256
file353812, 16123, 1907687383
file353813, 20323, 1981738931
file353814, 1002, 751606120
file353815, 6578, 1083292949
file353816, 245057, 15781975175
file353817, 7617, 1183510956
file353818, 46266, 3736619944
file353819, 4658, 999387853
file353820, 46329, 3811424179
file353821, 4112, 1002866422
file353822, 1484, 814524569
file353823, 6309, 1179043734
file353824, 9247, 1956461468
file353825, 3617, 924634882
file353826, 31540, 2852599285
file353827, 264, 873256409
file353828, 3555, 1145212944
file353829, 14219, 1813993126
file353830, 30728, 2796051520
file353831, 1454, 1000137542
file353832, 8730, 1449321647
file353833, 5119, 1270111846
file353834, 2741, 1050645511
file353835, 5900, 1305268023
file353836, 39362, 3153281213
file353837, 2163, 1042630328
file353838, 10088, 1552648977
file353839, 3992, 1140271585
file353840, 6797, 1331980505
file353841, 50961, 3997485046
file353842, 996, 921429239
file353843, 2808, 1057328088
file353844, 23504, 2426656427
file353845, 10108, 1696074897
file353846, 7173, 1302087035
file353847, 10736, 1607715272
file353848, 14534, 1881168145
file353849, 670, 882602067
file353850, 27755, 2646810297
file353851, 15307, 1882902733
file353852, 21423, 2255068718
file353853, 20539, 2192210324
file353854, 9914, 1641702027
file353855, 4557, 1161407897
file353856, 7793, 1435900488
file353857, 3110, 1083228888
file353858, 2375, 1061458667
file353859, 16791, 1992526023
file353860, 16002, 1850961677
file353861, 5945, 1323469954
file353862, 732, 916827142
file353863, 1635, 1058552413
file353864, 24561, 2445888382
file353865, 28985, 2712950232
file353866, 18830, 2103156460
file353867, 1863, 1068343720
file353868, 16272, 1946262165
file353869, 5951, 1282820376
file353870, 30764, 2845581763
file353871, 79556, 6092289279
file353872, 47995, 4357085672
file353873, 6006, 1311846334
file353874, 29255, 2717086321
file353875, 5447, 1286205340
file353876, 18004, 2047108609
file353877, 19410, 2135773445
file353878, 114418, 11239631369
file353879, 6999, 1386684728
file353880, 25940, 2522675906
file353881, 31588, 2871485645
file353882, 14398, 1857116672
file353883, 605, 911592254
file353884, 11088, 1608361995
file353885, 21560, 2242066621
file353886, 19573, 2121530761
file353887, 17072, 2091689805
file353888, 4863, 1223926650
file353889, 7504, 1365999038
file353890, 3987, 997193567
file353891, 7974, 1186810390
file353892, 70974, 5173059975
file353893, 24126, 2440084719
file353894, 3087, 909264343
file353895, 183, 690348693
file353896, 8877, 1346136617
file353897, 6571, 1146770736
file353898, 11633, 1494322301
file353899, 353, 706182242
file353900, 11324, 1391558169
file353901, 4357, 988569105
file353902, 20836, 2053658974
file353903, 788, 756590346
file353904, 20850, 2061240196
file353905, 347075, 23319834306
file353906, 7723, 1195514731
file353907, 44557, 3881877060
file353908, 524, 721068238
file353909, 5456, 1117126083
file353910, 15147, 1685566215
file353911, 17376, 1841818848
file353912, 1000, 755086816
file353913, 3744, 937478875
file353914, 8783, 1308219221
file353915, 51103, 4034445310
file353916, 19730, 1876742273
file353917, 75069, 21453540075
file353918, 6724, 1258533625
file353919, 28279, 2613227733
file353920, 4532, 1036374175
file353921, 9902, 1380716793
file353922, 1803, 816372014
file353923, 7588, 1250412106
file353924, 2731, 914764799
file353925, 2112, 823009857
file353926, 27989, 2150136552
file353927, 34412, 2889843450
file353928, 74777, 5256928161
file353929, 28567, 2542687637
file353930, 26149, 2413248816
file353931, 17068, 1885586170
file353932, 15523, 1698222404
file353933, 779, 763204611
file353934, 6025, 1099712757
file353935, 17307, 1856241477
file353936, 18049, 1882214531
file353937, 14809, 1723603871
file353938, 19143, 1850772686
file353939, 22384, 2061637276
file353940, 12418, 1548724661
file353941, 8777, 1210623891
file353942, 20208, 2005587578
file353943, 3719, 963401398
file353944, 4117, 979820981
file353945, 5092, 1014433695
file353946, 1053, 783377466
file353947, 3114, 907245113
file353948, 2259, 883227985
file353949, 5278, 1080863885
file353950, 2965, 907789578
file353951, 869, 908153693
file353952, 8584, 1447606452
file353953, 8613, 1413862064
file353954, 3156, 1059460281
file353955, 9652, 1488146994
file353956, 20138, 2182297771
file353957, 6788, 1399076346
file353958, 200497, 13793437298
file353959, 48001, 3803053022
file353960, 2503, 1034553293
file353961, 632, 890317438
file353962, 13459, 1766858138
file353963, 19925, 2255216799
file353964, 99817, 7138024779
file353965, 772, 921331290
file353966, 16322, 1881468257
file353967, 131730, 9670131037
file353968, 996, 918528455
file353969, 5879, 1262466442
file353970, 3478, 1119007913
file353971, 3280, 1101421644
file353972, 15056, 1875548651
file353973, 27879, 2673912820
file353974, 3862, 1073677320
file353975, 15744, 1969701436
file353976, 9359, 1528390548
file353977, 52706, 3613876162
file353978, 717, 914205529
file353979, 17930, 1957648214
file353980, 3439, 1086865746
file353981, 2472, 1029768526
file353982, 18657, 2104656336
file353983, 2843, 1067356203
file353984, 1367, 951169919
file353985, 1276, 1017774415
file353986, 9790, 1486708415
file353987, 15637, 1800945541
file353988, 3640, 1098830348
file353989, 4313, 1163851381
file353990, 6316, 1297858148
file353991, 1865, 1005498121
file353992, 805, 924379131
file353993, 3037, 1049228439
file353994, 9273, 1509962937
file353995, 27390, 2639596815
file353996, 18151, 1943762131
file353997, 3209, 1061703322
file353998, 29183, 2888976788
file353999, 6048, 1240151617
file354000, 17577, 2006470126
file354001, 26878, 2588328264
file354002, 17060, 2003193529
file354003, 20235, 2144912105
file354004, 15327, 1872214894
file354005, 21431, 2231124016
file354006, 19787, 1736315305
file354007, 1722, 995189441
file354008, 19399, 2141022233
file354009, 1002, 920083142
file354010, 1897, 999264931
file354011, 24381, 2412661431
file354012, 3185, 1058894391
file354013, 3876, 1139204874
file354014, 911, 900742345
file354015, 12431, 1629183076
file354016, 2151, 855366635
